wavelength,fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,fac_9,fac_10
308.545,22.47,19.97,17.72,11.32,10.38,15.16,7.46,10.83,11.61,9.74
308.917,22.42,20.02,17.76,11.29,10.37,15.16,7.44,10.87,11.55,9.73
309.29,22.39,20.01,17.73,11.29,10.36,15.07,7.34,10.82,11.51,9.63
309.662,22.39,19.95,17.66,11.36,10.38,15.06,7.21,10.77,11.41,9.62
310.034,22.36,19.94,17.62,11.44,10.42,15.1,7.21,10.8,11.39,9.65
310.407,22.34,19.94,17.58,11.51,10.5,15.08,7.23,10.81,11.39,9.67
310.779,22.33,19.98,17.46,11.53,10.51,15.03,7.15,10.76,11.35,9.58
311.151,22.41,20.01,17.42,11.64,10.53,15.02,7.18,10.83,11.36,9.65
311.523,22.44,20.06,17.42,11.71,10.61,15.06,7.18,10.81,11.3,9.72
311.895,22.44,20.04,17.38,11.64,10.56,15.06,7.12,10.75,11.3,9.63
312.267,22.49,20.1,17.4,11.69,10.56,15.05,7.1,10.73,11.27,9.61
312.639,22.42,20.05,17.35,11.72,10.68,15.06,7.1,10.64,11.28,9.62
313.011,22.48,19.97,17.27,11.79,10.75,14.98,7.05,10.55,11.24,9.58
313.383,22.51,20,17.26,11.87,10.77,14.97,7.01,10.51,11.19,9.6
313.755,22.53,19.95,17.26,11.83,10.83,14.97,7.03,10.53,11.24,9.59
314.127,22.54,19.93,17.2,11.79,10.87,14.89,7.04,10.42,11.15,9.55
314.498,22.59,19.89,17.18,11.72,10.85,14.86,7,10.37,11.02,9.47
314.87,22.57,19.82,17.19,11.73,10.83,14.8,7,10.35,10.93,9.48
315.242,22.52,19.83,17.18,11.8,10.94,14.82,7,10.31,10.89,9.43
315.614,22.46,19.77,17.15,11.82,10.9,14.72,7.01,10.3,10.9,9.39
315.985,22.4,19.8,17.1,11.95,10.98,14.63,7.01,10.27,10.87,9.36
316.357,22.4,19.75,17.06,11.99,11.04,14.58,6.95,10.23,10.82,9.35
316.728,22.47,19.73,17.09,12.05,10.96,14.62,6.96,10.31,10.78,9.36
317.1,22.4,19.69,17.08,12.01,11,14.59,6.96,10.34,10.73,9.29
317.471,22.42,19.68,17.03,12,11.07,14.54,6.99,10.35,10.64,9.26
317.843,22.49,19.75,17.04,12.08,11.11,14.47,7.03,10.3,10.64,9.23
318.214,22.5,19.74,17.15,12.09,11.14,14.52,6.99,10.22,10.58,9.16
318.585,22.53,19.79,17.14,12.17,11.21,14.55,6.93,10.25,10.67,9.19
318.957,22.56,19.81,17.17,12.2,11.33,14.62,6.94,10.31,10.66,9.22
319.328,22.52,19.81,17.16,12.16,11.41,14.58,6.86,10.22,10.67,9.18
319.699,22.6,19.81,17.12,12.16,11.57,14.55,6.86,10.2,10.65,9.15
320.07,22.69,19.79,17.21,12.26,11.69,14.61,6.86,10.26,10.68,9.26
320.441,22.65,19.79,17.16,12.25,11.69,14.6,6.83,10.25,10.63,9.21
320.813,22.62,19.78,17.04,12.23,11.85,14.6,6.78,10.26,10.61,9.16
